|-------------------------------------------------------------------------|
|   File Name : in_temp.dat
|   Subject   : temperature profiles used for initial guess atmosphere
|   File Type : input of gmtr
|   Data Type : atmospherical data
|   Author/s  : WRF-Chem
|   Date      : Fri Jul 26 15:39:24 2024
|-------------------------------------------------------------------------|

 WRF-Chem temperature
#
 values of T (K)    (8f10.5)
#
 225.90774 227.99816 230.10158 232.21401 234.34943 236.52785 238.79028 241.16670
 243.79413 246.05155 248.05997 249.83140 251.25482 252.38425 253.21267 253.53509
 253.57852 253.35894 252.72536 251.67979 250.29221 248.45964 246.37506 244.21448
 242.01191 239.82233 237.64876 235.49418 233.36060 231.23403 229.26645 227.42987
 225.71930 224.19772 222.83415 221.61257 220.50099 219.46742 218.57784 217.72527
 216.97369 216.16011 215.26454 214.63496 214.09138 213.15747 210.95726 210.16534
 210.43637 211.08308 212.53786 215.20493 219.15038 223.93825 229.64482 234.73079
 238.60918 242.57877 246.81639 251.04150 254.85277 258.65170 261.54611 263.39963
 266.03680 268.80515 271.26306 273.31302 275.32022 277.19629 278.65439 280.14487
 281.83929 283.42761 284.94772 286.30576 287.48663 288.53076 289.48520 290.35016
 291.13303 291.83188 292.44458 293.25714
 366.78100 356.34120 345.77940 334.65160 323.06080 311.26100 299.13721 286.94641
 274.66461 262.56781 250.58301 239.89021 230.01841 221.12861 213.31681 206.32501
 200.16521 195.10942 191.69762 189.74582 188.78902 188.85922 189.70042 191.01462
 192.74582 194.84702 197.11622 199.48142 201.93263 204.41883 206.51303 208.36123
 209.99343 211.14463 211.37983 211.61403 211.55723 211.26843 210.90763 210.54384
 210.16704 209.88324 209.69744 209.56764 209.50184 209.83904 210.23124 210.62644
 211.42564 212.60984 213.86605 215.65525 217.58945 219.63865 221.73985 223.82905
 225.89525 227.98545 230.08865 232.20085 234.33606 236.51426 238.77646 241.15266
 243.77986 246.03706 248.04526 249.81646 251.23966 252.36886 253.19706 253.51927
 253.56247 253.34267 252.70887 251.66307 250.27527 248.44247 246.35767 244.19687
 241.99407 239.80427 237.63048 235.47568 233.34188 231.21508 229.24728 227.41048
 225.69968 224.17788 222.81408 221.59228 220.48048 219.44669 218.55689 217.70409
 216.95229 216.13849 215.24269 214.61289 214.06909 213.17311 211.06161 210.27621
 210.46442 211.12299 212.57321 215.18300 219.04207 223.84766 229.57889 234.65800
 238.52603 242.48625 246.73109 250.97284 254.79498 258.59824 261.50058 263.36957
 266.01993 268.79315 271.23874 273.24747 275.26807 277.18665 278.62109 280.07547
 281.75839 283.34229 284.85110 286.21140 287.39011 288.43561 289.39166 290.25778
 291.03922 291.73709 292.35550 293.16632
 366.78100 356.34097 345.77894 334.65091 323.05988 311.25985 299.13582 286.94479
 274.66276 262.56573 250.58070 239.88767 230.01564 221.12561 213.31358 206.32155
 200.16152 195.10549 191.69346 189.74143 188.78440 188.85437 189.69534 191.00931
 192.74028 194.84126 197.11023 199.47520 201.92617 204.41214 206.50611 208.35408
 209.98605 211.13702 211.37199 211.60596 211.54893 211.25990 210.89887 210.53484
 210.15781 209.87378 209.68775 209.55772 209.49169 209.82866 210.22063 210.61560
 211.41457 212.59854 213.85451 215.64348 217.57745 219.62642 221.72739 223.81636
 225.88233 227.97230 230.07527 232.18724 234.32221 236.50018 238.76215 241.13812
 243.76509 246.02206 248.03003 249.80100 251.22397 252.35294 253.18091 253.50288
 253.54585 253.32582 252.69180 251.64577 250.25774 248.42471 246.33968 244.17865
 241.97562 239.78559 237.61156 235.45653 233.32250 231.19547 229.22744 227.39041
 225.67938 224.15735 222.79332 221.57129 220.45926 219.42523 218.53520 217.68217
 216.93014 216.11611 215.22008 214.59005 214.04602 213.18697 211.16200 210.39360
 210.49455 211.16066 212.59824 215.15977 218.94818 223.75400 229.51724 234.58353
 238.44119 242.39368 246.64624 250.90504 254.73999 258.54678 261.45389 263.33710
 265.99725 268.77393 271.21021 273.18240 275.21426 277.17471 278.59067 280.01254
 281.68198 283.26086 284.75946 286.11838 287.29974 288.34412 289.29889 290.16528
 290.94971 291.64691 292.26456 293.08020
 366.78100 356.34072 345.77844 334.65015 323.05887 311.25859 299.13431 286.94303
 274.66074 262.56346 250.57818 239.88490 230.01262 221.12233 213.31005 206.31777
 200.15749 195.10121 191.68892 189.73664 188.77936 188.84908 189.68980 191.00351
 192.73423 194.83495 197.10367 199.46839 201.91910 204.40482 206.49854 208.34626
